Profile,Easting,Northing,Latitude,Longitude,Horizon,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.µS.cm
1,498504,6406727,116.984079,-32.4766694,A1,0–15,0,15,7.5,11.07738605,88,8,4,1.516587031,2.092697382,0.10010273,20.90549758,5.65,4.9,53.8
2,498440,6406561,116.983398,-32.4781668,A1,0–15,0,15,7.5,14.87414336,84.25,14,1.75,1.661918089,1.231281877,0.062315032,19.75898654,6.26,5.06,74.2
3,499026,6406415,116.989634,-32.4794845,A1,0–20,0,20,10,NA,78.5,9.25,12.25,1.059129693,2.576127291,0.181038618,14.22971142,6.2,4.84,101.4
4,498987,6406365,116.989219,-32.4799356,Ap,0–275,0,275,137.5,NA,84.25,8.5,7.25,1.487337884,6.764747143,0.255409151,26.48592311,5.6,4.71,251.8
5,498600,6406830,116.985101,-32.4757403,A,0–20,0,20,10,NA,80,7.75,12.25,1.083890785,12.99647141,0.440980345,29.47177023,5.05,4.35,445
6,499879,6406404,116.998712,-32.4795842,Ap,2–3,2,3,2.5,3.55,75,12.5,12.5,1.013,5.426131725,0.283227533,19.15820706,5.3,4.5,78.4
7,499705.064,6406558.051,116.996861,-32.478194,A,5–12,5,12,8.5,4.03,92.5,7.5,0.1,1.47,3.411870003,0.079449013,42.94414593,5.87,4.37,24.4
8,499313.553,6406613.457,116.992695,-32.4776941,A,0–15,0,15,7.5,24.6,90,5,5,1.296,3.955463886,0.12669228,31.22103321,5.5,4.23,17.7
9,499579.785,6406484.146,116.995528,-32.4788615,A,0–20,0,20,10,37.54,72.5,10,17.5,0.989,18.11121941,0.490362495,36.93434874,5.85,4.4,31.1
10,500015,6405982,117.00016,-32.4833911,Ap,0–10,0,10,5,17,83.13,7.25,9.63,1.405,2.415568352,0.118163295,20.44262857,5.13,4.71,157.7
11,499989,6406157,116.999883,-32.4818124,Ap,0–15,0,15,7.5,13,86.62,5.13,8.25,1.596,1.436036706,0.092564762,15.51385949,5.27,4.09,30.9
12,499969,6407026,116.99967,-32.4739731,Ap,0–25,0,25,12.5,31,81.5,8.63,9.82,1.305,3.962929249,0.26072675,15.19954991,5.43,4.79,87.1
13,499814,6406782,116.998021,-32.4761742,Ap,0–10,0,10,5,5,68.86,17.46,13.68,1.078,4.585476398,0.263147116,17.42552407,6.45,5.68,121.8
14,498263,6404666,116.98151,-32.4952615,Ap,0–10,0,10,5,22.35084712,84.97,6.44,8.59,1.27575,2.37,0.21,11.28571429,5.55,4.33,NA
15,498715,6404659,116.986322,-32.4953253,Ap,0–15,0,15,7.5,35,78.58,12,9.66,1.142752,0.33,0.04,8.25,6.17,5.97,NA
16,498400,6404356,116.982968,-32.4980583,Ap,0–20,0,20,10,31.02533493,79.88561458,6.785575805,13.32880962,1.26,2.4,0.2,12,6.2,5.8,NA
17,499131,6404068,116.990749,-32.5006572,Ap,0–10,0,10,5,0.1441,72.41666683,10.74999992,16.83333325,1.054,4.38,0.33,13.27272727,5.4,5.3,NA
18,498771,6403716,116.986917,-32.5038323,Ap,0–14,0,14,7,6.373517787,61.91666675,17.25,20.83333325,1.261,1.32,0.11,12,6.81,5.02,NA
19,499159,6403611,116.991047,-32.5047798,Ap,0–8,0,8,4,2.997404893,91.04095563,2.509536238,6.449508131,1.232643806,2.05,0.16,12.8125,6,5.75,NA
20,498296,6404061,116.98186,-32.5007194,Ap,0–10,0,10,5,35.73050719,87.44695898,7.829864619,4.723176399,1.532111937,2.78,0.21,13.23809524,5.8,5,63
21,499746,6406602,116.997297,-32.477798,A,2–14,2,14,8,11.68575948,89.253,7.248,3.499,1.389206476,1.94,0.05,38.8,5.58,4.68,46
22,499399,6406493,116.993604,-32.478781,A,0–6,0,6,3,18.16130052,65.704,17.272,17.025,0.8216,7.42,0.24,30.91666667,3.78,3.83,4600
23,499753,6406606,116.997371,-32.4777619,A,0.2–20,0.2,20,10.1,8.191060904,39.42,15.89,44.69,1.305496702,3.41,0.1,34.1,4.21,3.91,1188
24,499710,6406793,116.996914,-32.476075,A,0–15,0,15,7.5,14.5906592,71.25,13,15.75,1.0909,5.18,0.17,30.47058824,4.95,4.5,1090
25,499936,6406181,116.999319,-32.4815959,A,0–14,0,14,7,11.42,70.5,18.25,11.25,1.220025361,1.65,0.09,18.33333333,5.77,5.73,546
26,499949,6406143,116.999457,-32.4819387,A,0–16,0,16,8,14.88,92.24,13.76,6,1.192032629,1.03,0.06,17.16666667,5.44,5.06,755
27,498987,6406804,116.989219,-32.4759753,A,0–11,0,11,5.5,0.1,59.75,18.5,11.75,1.401,2.76,0.19,14.52631579,6.94,5.08,595
28,496044,6404560,116.957889,-32.4962121,A,0–18,0,18,9,13.4,89.08,5.14,5.79,1.6239,1.48,0.08,18.5,4.92,4.36,2280
29,497240,6404609,116.970621,-32.4957737,A,0–15,0,15,7.5,53.21,86.6,7.07,6.33,1.5615,2.45,0.14,17.5,5.34,4.96,2280
30,496745,6404980,116.965353,-32.4924255,A,0–12,0,12,6,4.924,89.91380746,4.251205118,5.834987417,1.503298246,2.45,0.16,15.3125,5.5,4.8,183
31,497397,6405407,116.972294,-32.4885752,A,0–15,0,15,7.5,10.824,76.47650841,6.90899753,16.61449406,1.513824561,2.16,0.16,13.5,5.2,4.85,260.6
32,497226,6405223,116.970473,-32.4902347,Ap,0–32,0,32,16,9.12,67.86,10.406,21.73,1.119,6.61,0.58,11.39655172,5.95,5.47,1280
33,497216,6404807,116.970366,-32.4939874,A,0–57,0,57,28.5,15.89,60.004,16.276,23.72,1.495,3.54,0.32,11.0625,5.42,4.91,606
34,497344,6404633,116.971728,-32.4955574,A,2–15,2,15,8.5,30.92,88.25,7.45,4.3,1.21,0.83,0.05,16.6,5.7,4.44,30.8
35,497366,6404510,116.971962,-32.4966671,A,0–15,0,15,7.5,18.92030097,88.76,5.58,5.66,1.383,2.87,0.16,17.9375,5.9,5,62.9
36,497376,6404935,116.972069,-32.4928331,A,0–18,0,18,9,16.91760905,88.36,6.4,5.25,1.309,1.96,0.1,19.6,5.64,4.66,24.5
37,498834,6405514,116.987589,-32.4876124,A,0–13,0,13,6.5,32.12,NA,NA,11.5118,1.327567568,3.537651539,0.274661988,12.88001869,6.45,5.45,1367
38,498720,6405407,116.986376,-32.4885775,A,0–20,0,20,10,6.53,96.691204,1.272613,2.036181,1.072297297,1.693874359,0.12,14.11561966,6.3,5,297
39,498095,6405134,116.979723,-32.4910394,A,0–12,0,12,6,16.99,67.10533875,25.12426883,7.770392422,1.29188,3.11,0.29,10.72413793,6.06,5.06,99.5
40,498149,6404827,116.980297,-32.493809,A,0–15,0,15,7.5,14.02,82.89254601,6.128043219,10.97941077,1.38486,2.66,0.25,10.64,5.9,5.15,191.1
41,498226,6405423,116.981118,-32.4884325,A,0–50,0,50,25,25.41,78.273247,10.32020768,11.40654533,0.57,0.46,0.02,23,5.83,4.87,39.3
42,498278,6405414,116.981671,-32.4885138,A,0–16,0,16,8,19.65,61.35118932,27.08045918,11.5683515,0.53,2.1,0.62,3.387096774,4.52,4.26,2087
43,498349,6405394,116.982427,-32.4886943,A,0–20,0,20,10,17.25,77.08329053,11.94336132,10.97334815,1.04,2.8,0.2,14,4.25,4.23,805
44,499277,6404883,116.992304,-32.4933051,A,0–6,0,6,3,45.61,69.47567549,17.93973458,12.58458993,NA,3.1,0.11,28.18181818,5.89,4.9,85.9
45,498997,6404745,116.989324,-32.4945498,A,0–15,0,15,7.5,10.26,88.48135665,6.143276455,5.375366898,1.34,1.45,0.11,13.18181818,5.62,4.71,87.3
46,498808,6404333,116.987311,-32.498266,A,2–30,2,30,16,14.9,88.3,6.1,5.6,1.468,1.53,0.13,11.76923077,5.65,5.6,187.1
47,499548,6404154,116.995188,-32.4998816,A,0–5,0,5,2.5,9.31,75.84187788,9.927995392,14.23012673,NA,2.63,0.23,11.43478261,6.01,5.34,188.4
48,499521,6404045,116.994901,-32.5008649,A,0–5,0,5,2.5,5.25,87.78368988,7.077034826,5.13927529,NA,2.2,0.21,10.47619048,6.7,5.66,375
49,497927,6406410,116.977938,-32.4795281,A,0–15,0,15,7.5,11.24,93.2,4.75,2.05,1.3259,1.93,0.21,9.19047619,5.7,4.6,92
50,497283,6403755,116.971076,-32.5034778,A,0–24,0,24,12,10.69,84.969,5.192359162,9.838154202,1.4255,1.21,0.08,15.125,4.97,4.11,84.3
51,497514,6403540,116.973534,-32.5054179,Ap,0–15,0,15,7.5,10.97,89.188,3.52027664,7.292001611,1.5137,1.4,0.09,15.55555556,5.39,4.2,153
52,498807,6403228,116.987299,-32.5082346,A,0–25,0,25,12.5,4.43,88.4,4.9,6.7,1.49,1.63,0.14,11.64285714,NA,NA,NA
53,498186,6404070,116.980689,-32.500638,A,0–15,0,15,7.5,9.07,87.4,6.5,6.1,1.38,1.35,0.1,13.5,NA,NA,NA
54,496001,6403978,116.957429,-32.5014622,A,0–10,0,10,5,7.695282029,93,4.7,2.2,1.462,2.01,0.16,12.5625,5.45,4.54,763
55,497352,6403626,116.97181,-32.5046417,A,0–15,0,15,7.5,9.877468472,86,6.6,7.4,1.585,1.56,0.12,13,5.3,4.91,154
56,495711,6403941,116.954342,-32.5017949,A,0–14,0,14,7,1.94,82.6,8.7,8.7,1.3212,3.17,0.29,10.93103448,6.52,5.24,223.3
57,495765,6404195,116.954918,-32.4995038,A,0–15,0,15,7.5,19.64,72.4,11.9,15.7,1.44023,2.91,0.23,12.65217391,6.62,6.19,1577
58,496884,6403490,116.966827,-32.5058673,A,0–10,0,10,5,8.41,94,0.501,5.5,1.619,2.2,0.15,14.66666667,5.83,5.2,225.9
59,497268,6404131,116.970917,-32.5000858,A,0–5,0,5,2.5,8.8,89.9,3.8,6.3,1.453,1.88,0.14,13.42857143,6.76,5.9,108.5
60,496653,6404196,116.964371,-32.4994978,A,0–17,0,17,8.5,11.617,91.2,5,3.8,1.538,1.6,0.11,14.54545455,5.43,4.61,107.8
61,496840,6404334,116.966362,-32.4982534,A,0–20,0,20,10,7.849,75.2,11.4,13.4,1.156,4.21,0.27,15.59259259,5.24,4.8,144.7
62,495983,6404204,116.9572,-32.4994,A1,0-18,0,18,9,7.35,83.4,10.3,6.3,1.149,1.17,0.093,12.58064516,5.6,4.54,92.3
63,496419,6404110,116.9619,-32.5003,A,0-17,0,17,8.5,5.03,91.49,4.25,4.25,1.3795,1.309687495,0.107828781,12.14599185,4.65,4.05,217.2
64,495625,6403350,116.9534,-32.5071,A,0-15,0,15,7.5,5.636743215,90.2,4.5,5.3,1.38,1.748999834,0.146867096,11.9087248,4.85,4.1,155.2
65,496030,6403765,116.9577,-32.5034,A,0-19,0,19,9.5,8.840083201,87.4,5.7,6.9,1.3,1.32996726,0.105905071,12.55810745,5.79,4.73,102.4
66,496610,6403404,116.9639,-32.5066,A,0-5,0,5,2.5,5.81,85.179,9.546,5.275,1.29,1.57,0.12,13.08333333,5.72,5.26,271.5
67,496759,6403845,116.9655,-32.5027,A,0-5,0,5,2.5,1.82,78.3,2.49,19.2,1.091,5.810021877,0.507,11.45960923,6.38,5.11,593
68,496967,6403448,116.9677,-32.5063,A,0-16,0,16,8,4.63,87.2,5.396,7.404,1.33,1.785010934,0.126123399,14.15289276,5.79,5.01,103.8
69,497263,6404153,116.9709,-32.4999,A,0-15,0,15,7.5,8.85,90.53,3.99,5.48,1.346063992,1.014754534,0.060304698,16.8271225,4.96,4.82,242
70,499413,6404060,116.9938,-32.5007,A,0-10,0,10,5,0.033,93.23,3.95,2.82,1.28,2.169188499,0.208244428,10.41655001,6.49,5.32,275
71,499377,6404113,116.9934,-32.5003,A,0-15,0,15,7.5,0.100158423,76.9,14.13,8.99,1.354,2.60015893,0.213789359,12.16224673,5.3,4.62,44.3
72,499214,6403703,116.9916,-32.504,A,0-13,0,13,6.5,0.07,99.7,0.1,0.21,1.49,2.195195913,0.206362158,10.63758944,5.26,4.8,319
73,498861,6403134,116.9879,-32.5091,A,0-14,0,14,7,0.07,76.23,9.76,14.01,1.257,2.781865597,0.274454772,10.13597094,5.4,4.84,298
74,498125,6403345.5,116.98,-32.5072,A,0-17,0,17,8.5,10.85,85.03,4.59,10.38,1.52,0.701,0.067,10.46268657,6.1,5.74,4620
75,498350,6403540,116.9824,-32.5054,A1,0-10,0,10,5,29.78,82.025,6.402,11.573,1.257,2.58,0.21,12.28571429,5.61,4.73,87.9
76,498036,6403443,116.9791,-32.5063,A,0-13,0,13,6.5,6.54,75.62,9.9,14.48,1.429562712,2.550177813,0.195014581,13.07685712,5.32,4.7,333
77,497749,6403736,116.976,-32.5037,A,0-10,0,10,5,93.50992796,91.4,5.1,3.7,1.590372881,0.883511305,0.061252698,14.42403893,5.29,4.63,87.4
