"Profile","Landform","subLandform","Easting","Northing","Latitude","Longitude","Horizon","Horiz.simp","Depth.range","Depth.upper","Depth.lower","Depth.mean","Gravel.pct","Sand.pct","Silt.pct","Clay.pct","Bulk.density","C.pct","N.pct","C.N.ratio","pH.H2O","pH.CaCl2","EC","CEC","Al_ex","Ca_ex","K_ex","Mg_ex","Na_ex","LF5","Depth.cat"
26,"Sub_valley_floor","Valley_floor",499949,6406143,116.999457,-32.4819387,"A","A","0-16",0,16,8,14.88,92.24,13.76,6,"1.192032629",1.03,0.06,17.16666667,5.44,5.06,755,3.46,0.12,2.34,0.08,0.95,0.18,"VF",5
26,"Sub_valley_floor","Valley_floor",499949,6406143,116.999457,-32.4819387,"B1","B","16-46",16,46,31,24.5,87.45,7.38,5.17,"1.139679608",0.26,0.02,13,5.87,5.11,527,1.39,0.03,0.8,0.06,0.67,0.14,"VF",35
26,"Sub_valley_floor","Valley_floor",499949,6406143,116.999457,-32.4819387,"B2","B2","46-75",46,75,60.5,31.81,NA,NA,NA,"1.258135232",0.23,0.04,5.75,6.57,5.19,413,13.94,0.02,3.82,0.12,8.74,1.94,"VF",70
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"A","A","0-11",0,11,5.5,0.1,59.75,18.5,11.75,"1.401",2.76,0.19,14.52631579,6.94,5.08,595,8.38,0.04,5.82,0.74,1.27,0.29,"MS",5
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"B1","B","Nov-31",11,31,21,0.02,109.76,2.5,12.26,"1.599",0.73,0.06,12.16666667,6,5.02,84.9,6.78,0.03,4.39,0.27,0.97,0.09,"MS",25
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"B2","B2","31-58",31,58,44.5,0.05,NA,NA,NA,"1.676",0.32,0.04,8,6.41,5.5,92.1,8.43,0.01,5.5,0.24,2.42,0.21,"MS",50
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"B3","B3","58-100",58,100,79,0.09,83.25,1,15.75,"1.384",0.35,0.03,11.66666667,6.69,5.79,170.9,10.07,0.03,6.05,0.27,3.04,0.3,"MS",70
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"A","A","0-18",0,18,9,13.4,89.08,5.14,5.79,"1.6239",1.48,0.08,18.5,4.92,4.36,2280,1.5,0.18,1.3,0.01,0.29,0.4,"LS",5
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"B","B","18-47",18,47,32.5,6.62,91.69,2.46,5.85,"1.8687",0.24,0.01,24,5.2,4.99,2265,0.26,0.1,0.16,0.005,0.19,0.17,"LS",35
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"C1","C","47-85",47,85,66,72.69,90.14,5.15,4.71,"1.9452",0.07,0.02,3.5,4.93,4.53,2334,0.15,0.12,0.05,0.01,0.18,0.19,"LS",70
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"C2",NA,"85-100",85,100,92.5,10.04,64.01,8.47,27.51,"2.1534",0.09,0.01,9,5.07,4.61,2137,1.75,0.11,0.08,0.01,1.59,0.5,"LS",90
29,"Residual",NA,497240,6404609,116.970621,-32.4957737,"A","A","0-15",0,15,7.5,53.21,86.6,7.07,6.33,"1.5615",2.45,0.14,17.5,5.34,4.96,2283,3.71,0.06,2.59,0.1,0.38,0.08,"RE",5
29,"Residual",NA,497240,6404609,116.970621,-32.4957737,"B","B","15-100",15,100,57.5,80.89,87.13,8.88,3.99,"1.3958",0.31,0.02,15.5,6.15,4.99,2262,2.06,0.05,1.29,0.05,0.21,0.04,"RE",50
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"A","A","0-12",0,12,6,4.924,89.91380746,4.251205118,5.834987417,"1.503298246",2.45,0.16,15.3125,5.5,4.8,183,4.55,0.01,2.74,0.22,3.04,0.86,"LS",5
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"B1","B","Dec-50",12,50,31,5.923,87.56979131,8.818729135,3.61147955,"1.596105263",0.11,0.02,5.5,6.2,4.5,24,0.25,0.005,0.15,0.06,0.7,0.44,"LS",35
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"B2","B2","50-65",50,65,57.5,7.539,73.19630285,21.22653035,5.577166799,"1.616701754",0.06,0.01,6,6.5,4.7,48.9,0.81,0.005,0.17,0.02,1.16,0.45,"LS",50
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"B3","B3","65-100",65,100,82.5,12.184,61.21618505,22.11431349,16.66950146,NA,0.03,0.01,3,6.8,5,894,3.19,0.005,0.34,0.05,3.08,1.1,"LS",90
31,"Nonresid_upland",NA,497397,6405407,116.972294,-32.4885752,"A","A","0-15",0,15,7.5,10.824,76.47650841,6.90899753,16.61449406,"1.513824561",2.16,0.16,13.5,5.2,4.85,260.6,3.96,0.04,2.98,0.41,0.75,0.36,"US",5
31,"Nonresid_upland",NA,497397,6405407,116.972294,-32.4885752,"B1","B","15-52",15,52,33.5,10.35,75.88432904,7.33588592,16.77978504,"1.616912281",0.9,0.02,45,4.68,4.36,168.2,1.38,0.08,1.08,0.04,0.44,0.09,"US",35
31,"Nonresid_upland",NA,497397,6405407,116.972294,-32.4885752,"B2","B2","52-95",52,95,73.5,1.412,35.81736302,14.56689835,49.61573863,"1.710350877",0.55,0.02,27.5,4.63,4.18,401,4.94,0.55,0.95,0.03,2.74,0.33,"US",70
32,"Upper_slope",NA,497226,6405223,116.970473,-32.4902347,"Ap","A","0-32",0,32,16,9.12,67.86,10.406,21.73,"1.119",6.61,0.58,11.39655172,5.95,5.47,1280,3.05,0.01,1.61,0.39,0.3,0.04,"US",15
32,"Upper_slope",NA,497227,6405224,116.970484,-32.4902257,"E","A2","32-50",32,50,41,27.89,88.452,2.442,9.106,"1.739",0.37,0.02,18.5,6.9,5.69,112,4.64,0.03,2.61,0.41,0.9,0.12,"US",50
32,"Upper_slope",NA,497228,6405225,116.970495,-32.4902166,"B","B","52-120",52,120,86,42.27,33,5.1,61.29,"1.688",0.14,0.05,2.8,6.9,5.96,300,5.96,0.05,3.59,0.08,1.31,0.28,"US",90
33,"Residual",NA,497216,6404807,116.970366,-32.4939874,"A","A","0-57",0,57,28.5,15.89,60.004,16.276,23.72,"1.495",3.54,0.32,11.0625,5.42,4.91,606,8.83,0.24,2.84,0.36,6.52,7.32,"RE",25
33,"Residual",NA,497217,6404808,116.970376,-32.4939784,"B","B","57-80",57,80,68.5,27.55,70.508,7.872,21.62,"1.976",0.16,0.02,8,5.6,5.08,66,3.27,0.49,0.2,0.26,1.82,4.52,"RE",70
34,"Residual",NA,497344,6404633,116.971728,-32.4955574,"A","A","Feb-15",2,15,8.5,30.92,88.25,7.45,4.3,"1.21",0.83,0.05,16.6,5.7,4.44,30.8,NA,NA,NA,NA,NA,NA,"RE",5
34,"Residual",NA,497345,6404634,116.971738,-32.4955484,"B1","B","15-25",15,25,20,17.79529994,86.78,5.56,7.66,"1.413",0.22,0.03,7.333333333,6.1,4.9,21.61,NA,NA,NA,NA,NA,NA,"RE",25
34,"Residual",NA,497346,6404635,116.971749,-32.4955394,"B2","B2","25-45",25,45,35,2.379456573,68.17,8.57,23.26,NA,0.23,0.03,7.666666667,6.35,5.1,20.86,NA,NA,NA,NA,NA,NA,"RE",35
34,"Residual",NA,497347,6404636,116.97176,-32.4955304,"C","C","45-100",45,100,72.5,3.348806366,79.64,8.36,11.99,NA,0.15,0.05,3,6.85,5.46,18.48,NA,NA,NA,NA,NA,NA,"RE",70
35,"Upper_slope",NA,497366,6404510,116.971962,-32.4966671,"A","A","0-15",0,15,7.5,18.92030097,88.76,5.58,5.66,"1.383",2.87,0.16,17.9375,5.9,5,62.9,3.16,0.03,3.06,0.11,0.42,0.03,"US",5
35,"Upper_slope",NA,497367,6404511,116.971972,-32.496658,"B1","B","15-35",15,35,25,32.08771819,90.89,5.37,3.74,"1.543",0.33,0.04,8.25,6.3,5.11,13.58,1.54,0.03,1.65,0.02,0.32,0.02,"US",25
35,"Upper_slope",NA,497368,6404512,116.971983,-32.496649,"B2","B2","35-75",35,75,55,18.09435133,88.88,8.02,3.09,"1.48",0.08,0.02,4,6.08,4.99,10.36,0.67,0.02,0.69,0.005,0.17,0.02,"US",50
35,"Upper_slope",NA,497369,6404513,116.971994,-32.49664,"C","C","75-95",75,95,85,37.28122912,90.78,8.15,1.07,NA,0.07,0.01,7,6.38,5.15,15.3,1.24,0.02,0.6,0.04,0.8,0.03,"US",90
36,"Residual",NA,497376,6404935,116.972069,-32.4928331,"A","A","0-18",0,18,9,16.91760905,88.36,6.4,5.25,"1.309",1.96,0.1,19.6,5.64,4.66,24.5,0.43,0.09,0.43,0.11,0.12,0.04,"RE",5
36,"Residual",NA,497377,6404936,116.97208,-32.4928241,"B","B","18-45",18,45,31.5,28.77648667,87.92,5.5,6.58,NA,0.27,0.04,6.75,6,4.58,12.34,0.93,0.16,0.35,0.21,0.33,0.09,"RE",35
37,"Mid-slope","Lower_slope",498834,6405514,116.987589,-32.4876124,"A","A","0-13",0,13,6.5,32.12,NA,NA,11.5118,"1.327567568",3.537651539,0.274661988,12.88001869,6.45,5.45,1367,1.5,0.18,1.3,0.01,0.29,0.4,"MS",5
37,"Mid-slope","Lower_slope",498834,6405514,116.987589,-32.4876124,"B1","B","13-38",13,38,25.5,43.9,76.0834,6.545593,17.370998,"1.416486486",0.713152945,0.051957343,13.72573937,6.68,5.2,1267,0.26,0.1,0.16,0.005,0.19,0.17,"MS",25
37,"Mid-slope","Lower_slope",498834,6405514,116.987589,-32.4876124,"B2","B2","38-50",38,50,44,42.35,91.621822,4.06214,4.31603,"1.524189189",0.224345997,0.024394944,9.196413573,5.95,5.21,569,0.15,0.12,0.05,0.01,0.18,0.19,"MS",50
37,"Mid-slope","Lower_slope",498834,6405514,116.987589,-32.4876124,"C","C","50-70",50,70,60,54.06,89.85815,6.845742,3.296098,"1.602094595",0.224158004,0.032670721,6.861128076,6.3,5.13,700,1.75,0.11,0.08,0.01,1.59,0.5,"MS",70
38,"Lower_slope","Mid-slope",498720,6405407,116.986376,-32.4885775,"A","A","0-20",0,20,10,6.53,96.691204,1.272613,2.036181,"1.072297297",1.693874359,0.12,14.11561966,6.3,5,297,3.69,0.005,3.42,0.14,0.67,0.06,"LS",15
38,"Lower_slope","Mid-slope",498720,6405407,116.986376,-32.4885775,"E","A2","20-33",20,33,26.5,6.58,NA,NA,2.530292,"1.637094595",0.265322179,0.02,13.26610893,6.53,4.92,436,2.06,0.01,1.73,0.16,0.48,0.03,"LS",25
38,"Lower_slope","Mid-slope",498720,6405407,116.986376,-32.4885775,"B1","B","33-62",33,62,47.5,7.99,NA,9.765122,NA,"1.704459459",0.07,0.01,7,5.81,4.88,751,4.55,0.01,2.74,0.22,3.04,0.86,"LS",50
38,"Lower_slope","Mid-slope",498720,6405407,116.986376,-32.4885775,"B2","B2","62-100",62,100,81,16.53,93.5591,4.122171,2.318721,"1.739459459",0.04,0.01,4,5.95,5.21,569,0.25,0.005,0.15,0.06,0.7,0.44,"LS",90
39,"Nonresid_upland",NA,498095,6405134,116.979723,-32.4910394,"A","A","0-12",0,12,6,16.99,67.10533875,25.12426883,7.770392422,"1.29188",3.11,0.29,10.72413793,6.06,5.06,99.5,11.02,0.02,6.26,1.97,1.56,0.14,"US",5
39,"Nonresid_upland",NA,498095,6405134,116.979723,-32.4910394,"B1","B","Dec-52",12,52,32,29.91,49.44252886,10.48798603,40.0694851,"1.4749",1.12,0.11,10.18181818,6.96,5.99,54,12.84,0.01,7.67,1.01,2.69,0.17,"US",35
40,"Upper_slope",NA,498149,6404827,116.980297,-32.493809,"A","A","0-15",0,15,7.5,14.02,82.89254601,6.128043219,10.97941077,"1.38486",2.66,0.25,10.64,5.9,5.15,191.1,7.18,0.02,4.95,1.04,0.87,0.09,"US",5
40,"Upper_slope",NA,498149,6404827,116.980297,-32.493809,"B1","B","15-40",15,40,27.5,22.43,87.69609351,9.484261253,2.819645237,"1.51451",0.51,0.04,12.75,6.67,5.27,27.1,3.05,0.01,1.61,0.39,0.3,0.04,"US",25
40,"Upper_slope",NA,498149,6404827,116.980297,-32.493809,"B2","B2","40-60",40,60,50,8.52,55.80204531,10.9163623,33.28159238,"1.6517",0.39,0.04,9.75,6.87,5.89,35.8,4.64,0.03,2.61,0.41,0.9,0.12,"US",50
41,"Residual",NA,498226,6405423,116.981118,-32.4884325,"A","A","0-50",0,50,25,25.41,78.273247,10.32020768,11.40654533,"0.57",0.46,0.02,23,5.83,4.87,39.3,11.02,0.02,6.26,1.97,1.56,0.14,"RE",25
42,"Residual","Upper_slope",498278,6405414,116.981671,-32.4885138,"A","A","0-16",0,16,8,19.65,61.35118932,27.08045918,11.5683515,"0.53",2.1,0.62,3.387096774,4.52,4.26,2087,3.27,0.49,0.2,0.26,1.82,4.52,"RE",5
42,"Residual","Upper_slope",498278,6405414,116.981671,-32.4885138,"B1","B","16-30",16,30,23,9.16,50.40222985,21.71578045,27.88198971,"1.34",1.79,0.06,29.83333333,4.28,3.96,1221,2.62,0.77,0.02,0.16,1.8,3.89,"RE",25
42,"Residual","Upper_slope",498278,6405414,116.981671,-32.4885138,"B2","B2","30-80",30,80,55,10.58,54.74022568,16.50650593,28.75326839,"1.34",0.48,0.02,24,3.96,3.65,991,2.32,0.49,0.03,0.24,1.47,4.1,"RE",50
42,"Residual","Upper_slope",498349,6405394,116.982427,-32.4886943,"C","C","80-120",80,120,100,5.13,64.46725361,9.191701023,26.34104537,"1.34",0.46,0.02,23,3.95,3.66,1052,1.3,0.26,0.49,0.08,1.46,2.13,"RE",100
43,"Upper_slope",NA,498349,6405394,116.982427,-32.4886943,"A","A","0-20",0,20,10,17.25,77.08329053,11.94336132,10.97334815,"1.04",2.8,0.2,14,4.25,4.23,805,2.39,0.13,0.01,0.07,4.95,4.47,"US",15
43,"Upper_slope",NA,498349,6405394,116.982427,-32.4886943,"B1","B","20-40",20,40,30,23.4,72.89774758,17.10336318,9.998889241,"1.38",2.18,0.09,24.22222222,4.93,4.71,1696,3.31,0.03,0.02,0.05,4.35,3.29,"US",35
43,"Upper_slope",NA,498349,6405394,116.982427,-32.4886943,"B2","B2","40-60",40,60,50,12.53,58.88187818,18.1916539,22.92646792,"1.61",0.4,0.02,20,5.25,4.98,1334,13.9,0.04,4.65,0.34,9.77,7.28,"US",50
44,"Valley_floor",NA,499277,6404883,116.992304,-32.4933051,"A","A","0-6",0,6,3,45.61,69.47567549,17.93973458,12.58458993,NA,3.1,0.11,28.18181818,5.89,4.9,85.9,13.8,0.04,4.55,0.42,9.77,7.18,"VF",5
44,"Valley_floor",NA,499277,6404883,116.992304,-32.4933051,"B","B","Jun-13",6,13,9.5,6.09,60.0377437,25.45366643,14.50858987,"1.39",2.85,0.1,28.5,6.17,5.01,265,7.77,0.005,2.13,0.15,3.12,2.79,"VF",5
44,"Valley_floor",NA,499277,6404883,116.992304,-32.4933051,"A1","A","13-30",13,30,21.5,8.08,83.08441291,9.593915066,7.321672024,"1.27",0.61,0.06,10.16666667,6.44,5.21,185.1,4.2,0.005,0.98,0.08,1.81,1.22,"VF",25
44,"Valley_floor",NA,499277,6404883,116.992304,-32.4933051,"B1","B","30-50",30,50,40,9.87,88.39692348,5.801538262,5.801538262,"1.65",0.28,0.02,14,6.11,5.06,147.4,2.32,0.005,0.44,0.05,1.05,0.72,"VF",50
44,"Valley_floor",NA,499277,6404883,116.992304,-32.4933051,"B2","B2","50-100",50,100,75,3.33,38.90801658,9.319116116,51.77286731,"1.97",0.14,0.02,7,5.94,5.02,506,11.76,0.005,1.28,0.06,6.62,4.89,"VF",70
45,"Mid-slope",NA,498997,6404745,116.989324,-32.4945498,"A","A","0-15",0,15,7.5,10.26,88.48135665,6.143276455,5.375366898,"1.34",1.45,0.11,13.18181818,5.62,4.71,87.3,3.71,0.06,2.59,0.1,0.38,0.08,"MS",5
45,"Mid-slope",NA,498997,6404745,116.989324,-32.4945498,"B1","B","15-30",15,30,22.5,12.69,90.30017371,5.360430319,4.339395973,"1.69",0.4,0.03,13.33333333,6.9,4.87,23.13,2.06,0.05,1.29,0.05,0.21,0.04,"MS",25
45,"Mid-slope",NA,498997,6404745,116.989324,-32.4945498,"B2","B2","30-54",30,54,42,16.47,89.52692347,6.386022274,4.087054256,"1.6",0.16,0.02,8,6.59,4.98,42.8,2.05,0.01,1.14,0.02,0.25,0.07,"MS",50
45,"Mid-slope",NA,498997,6404745,116.989324,-32.4945498,"B3","B3","54-70",54,70,62,23.62,53.64869766,5.696808108,40.65449423,NA,0.15,0.02,7.5,5.68,4.55,129.7,NA,NA,NA,NA,NA,NA,"MS",70
46,"Mid-slope","Lower_slope",498808,6404333,116.987311,-32.498266,"A","A","Feb-30",2,30,16,14.9,88.3,6.1,5.6,"1.468",1.53,0.13,11.76923077,5.65,5.6,187.1,NA,NA,NA,NA,NA,NA,"MS",15
46,"Mid-slope","Lower_slope",498808,6404333,116.987311,-32.498266,"B","B","30-50",30,50,40,15.7,86.3,7.7,6,"1.413",0.93,0.05,18.6,6.15,5.5,50.4,NA,NA,NA,NA,NA,NA,"MS",50
46,"Mid-slope","Lower_slope",498808,6404333,116.987311,-32.498266,"C","C","50-60",50,60,55,7.22,85.5,5.3,9.3,"1.92",0.25,0.02,12.5,6.2,4.82,52.9,NA,NA,NA,NA,NA,NA,"MS",50
47,"Lower_slope","Mid-slope",499548,6404154,116.995188,-32.4998816,"A","A","0-5",0,5,2.5,9.31,75.84187788,9.927995392,14.23012673,"NA (horizon too shallow)",2.63,0.23,11.43478261,6.01,5.34,188.4,1.5,0.18,1.3,0.01,0.29,0.4,"LS",5
47,"Lower_slope","Mid-slope",499548,6404154,116.995188,-32.4998816,"A/B",NA,"6-Nov",6,11,8.5,14.14,77.79174213,9.44679626,12.76146161,"1.438",1.17,0.11,10.63636364,5.39,4.91,278,0.26,0.1,0.16,0.005,0.19,0.17,"LS",5
47,"Lower_slope","Mid-slope",499548,6404154,116.995188,-32.4998816,"B1","B","Dec-46",12,46,29,14.2,79.36893204,5.446601942,15.18446602,"1.587",0.56,0.06,9.333333333,5.41,5.23,165.2,0.15,0.12,0.05,0.01,0.18,0.19,"LS",25
47,"Lower_slope","Mid-slope",499548,6404154,116.995188,-32.4998816,"B2","B2","47-65",47,65,56,20.78,67.58480613,5.513924731,26.90126914,"1.748",0.14,0.02,7,6.88,5.64,72.9,1.75,0.11,0.08,0.01,1.59,0.5,"LS",50
48,"Lower_slope",NA,499521,6404045,116.994901,-32.5008649,"A","A","0-5",0,5,2.5,5.25,87.78368988,7.077034826,5.13927529,"NA (horizon too shallow)",2.2,0.21,10.47619048,6.7,5.66,375,3.69,0.005,3.42,0.14,0.67,0.06,"LS",5
48,"Lower_slope",NA,499521,6404045,116.994901,-32.5008649,"A/B",NA,"6-Nov",6,11,8.5,14.64,90.4713388,6.056352459,3.472308743,"1.541",0.48,0.03,16,6.1,5.04,50.9,2.06,0.01,1.73,0.16,0.48,0.03,"LS",5
48,"Lower_slope",NA,499521,6404045,116.994901,-32.5008649,"E","A2","18-31",18,31,24.5,46.79,83.83160761,9,7.168392388,"1.5705",0.25,0.03,8.333333333,6.1,5.11,37.3,4.55,0.01,2.74,0.22,3.04,0.86,"LS",25
48,"Lower_slope",NA,499521,6404045,116.994901,-32.5008649,"B1","B","32-50",32,50,41,34.17,86.89737471,7.511059081,5.591566205,"1.655",0.17,0.02,8.5,5.71,4.5,29.8,0.25,0.005,0.15,0.06,0.7,0.44,"LS",50
48,"Lower_slope",NA,499521,6404045,116.994901,-32.5008649,"B2","B2","51-80",51,80,65.5,34.41,75.40627458,9.253910244,15.33981518,"1.759",0.16,0.02,8,5.69,4.77,45.8,0.81,0.005,0.17,0.02,1.16,0.45,"LS",70
49,"Valley_floor",NA,497927,6406410,116.977938,-32.4795281,"A","A","0-15",0,15,7.5,11.24,93.2,4.75,2.05,"1.3259",1.93,0.21,9.19047619,5.7,4.6,92,3.19,0.005,0.34,0.05,3.08,1.1,"VF",5
49,"Valley_floor",NA,497927,6406410,116.977938,-32.4795281,"A/B",NA,"15-35",15,35,25,14.56,92.241,4.254994444,3.504113071,"1.5304",0.51,0.05,10.2,5.67,4.69,59.5,3.96,0.04,2.98,0.41,0.75,0.36,"VF",25
49,"Valley_floor",NA,497927,6406410,116.977938,-32.4795281,"B","B","35-72",35,72,53.5,15.49,88.98,5.008986214,6.010783457,"1.6869",0.21,0.01,21,6.05,5,46,1.38,0.08,1.08,0.04,0.44,0.09,"VF",50
49,"Valley_floor",NA,497927,6406410,116.977938,-32.4795281,"C","C","72-100",72,100,86,34.69,86.476,5.509714856,8.014130699,"1.5716",0.16,0.01,16,6.12,5.25,40.5,4.94,0.55,0.95,0.03,2.74,0.33,"VF",90
50,"Valley_floor",NA,497283,6403755,116.971076,-32.5034778,"A","A","0-24",0,24,12,10.69,84.969,5.192359162,9.838154202,"1.4255",1.21,0.08,15.125,4.97,4.11,84.3,11.99,0.02,4.64,0.13,7.38,4.88,"VF",15
50,"Valley_floor",NA,497283,6403755,116.971076,-32.5034778,"B","B","24-45",24,45,34.5,10.56,81.629,8.499822663,9.870761803,"1.5269",0.28,0.03,9.333333333,5.17,4.18,82.5,1.12,0.005,0.4,0.03,0.92,0.36,"VF",35
50,"Valley_floor",NA,497283,6403755,116.971076,-32.5034778,"B2","B2","45-80",45,80,62.5,26.96,57.812,4.771229562,37.41648446,"1.5524",0.25,0.04,6.25,4.72,4.06,384,11.38,0.005,2.54,0.14,7.15,1.92,"VF",70
51,"Lower_slope",NA,497514,6403540,116.973534,-32.5054179,"Ap","A","0-15",0,15,7.5,10.97,89.188,3.52027664,7.292001611,"1.5137",1.4,0.09,15.55555556,5.39,4.2,153,11.77,0.005,7.36,1.59,2.53,0.85,"LS",5
51,"Lower_slope",NA,497514,6403540,116.973534,-32.5054179,"A","A","15-23",15,23,19,10.25,86.942,5.984766523,7.072905891,"1.5452",0.51,0.04,12.75,5.41,4.44,45,8.49,0.01,3.62,0.01,4.39,0.23,"LS",15
51,"Lower_slope",NA,497514,6403540,116.973534,-32.5054179,"A/B",NA,"23-37",23,37,30,12.7,88.714,4.514363533,6.771545299,"1.4569",0.2,0.03,6.666666667,5.39,4.35,46.7,1.84,0.06,1.43,0.12,0.38,0.07,"LS",35
51,"Lower_slope",NA,497514,6403540,116.973534,-32.5054179,"B","B","37-76",37,76,56.5,11.91,85.197,5.20833411,9.594299676,"1.6485",0.14,0.02,7,5.49,4.44,57.4,2.31,0.03,1.68,0.12,0.57,0.09,"LS",50
51,"Lower_slope",NA,497514,6403540,116.973534,-32.5054179,"B2","B2","76-100",76,100,88,14.78,65.559,7.793125017,26.64745973,"1.6145",0.17,0.02,8.5,5.79,4.69,73.1,3.57,0.04,2.44,0.1,1.05,0.12,"LS",90
